Fecha,Sector E.,Atlas,Bancop,Basa,BNA,BNF,Citibank,Continental,Do Brasil,Familiar,GNB,GNB Fusión,Interfisa,Itaú,Regional,Río,Solar,Sudameris,UENO,Visión,Zeta,Moneda
2016/01,ACTIVIDADES INMOBILIARIAS,46531.394041,63.787092,2336.91158,497.53613,0.0,0.0,34948.300023,0.0,0.0,21144.428663,0.0,0.0,58558.260928,26609.087058,0.0,0.0,0.0,0.0,0.0,0.0,MN
2016/01,ADMINISTRACION PUBLICA,4248.598206,2113.813215,0.0,0.0,0.421259,0.0,53414.867932,0.0,0.0,154.477507,0.0,0.0,30154.843455,9902.303143,0.0,0.0,0.0,0.0,0.0,0.0,MN
2016/01,AGRICULTURA,41185.409522,16045.479312,17860.375384000003,5423.163206,605493.38888602,0.0,206516.958567,26160.829795,181406.937801,281537.356581,63804.750185000004,126020.851705,355901.509195,260824.451256,67891.391814,0.0,14842.417765,0.0,143240.695952,0.0,MN
2016/01,COMERCIO AL POR MAYOR,162690.52145,78747.913707,336574.618526,24778.602892,13682.659848,113657.90856056,1014232.4894614,49710.404647,174872.691703,216790.465894,1333822.675537,59895.787182,302600.14003999997,718249.2893589999,115352.88874899999,0.0,335958.45031399996,0.0,12985.84388,0.0,MN
2016/01,COMERCIO AL POR MENOR,129660.124671,14526.051091000001,86205.378458,18893.852375,369.34266099999996,0.0,614621.0887412,19072.109319,360390.882912,229408.783694,22841.329568,151267.099473,520482.883366,491086.584324,96491.80279,0.0,49475.477971,0.0,1371500.320741,0.0,MN
2016/01,CONSTRUCCION,51669.672353,2033.582844,66567.86265099999,3028.065049,0.0,0.0,441368.43702199997,932.857531,21888.254815,84810.725345,69706.60526899999,8131.1643109999995,180697.199568,105730.059696,0.0,0.0,69164.689837,0.0,2629.717533,0.0,MN
2016/01,CONSUMO,383640.470669,22898.296331,93022.06736700001,919.4747279999999,1115547.34223204,8310.82358393,539432.74680526,170.818612,989843.6034799999,244584.382024,602603.341443,188260.985522,2424243.210955,409289.272225,142877.716376,0.0,216733.746281,0.0,736619.774847,0.0,MN
2016/01,GANADERIA,184747.07706399998,61604.720652,64178.105514,24706.787998,188386.715004,0.0,1032587.6038530001,0.0,63307.034404,236233.003921,521360.61476100003,104554.363953,546897.102633,723850.2062370001,39320.473101999996,0.0,527489.732579,0.0,182508.256543,0.0,MN
2016/01,INDUSTRIA,161636.47784900002,18596.852043,84712.553565,29119.657852999997,79520.608751,25755.82267909,637874.6576080001,4378.745686,59709.82994,250305.895078,254289.069419,35383.016306,444870.840219,573346.737708,9666.176932999999,0.0,204173.48490299998,0.0,9178.622872,0.0,MN
2016/01,OTROS,2756.285432,365.364586,0.0,214.858916,1876.526861,0.0,9812.394646,0.0,8191.945699,5213.574288,0.0,26879.67039,2300.863697,1713.070543,0.0,0.0,2037.8762379999998,0.0,0.0,0.0,MN
2016/01,SECTOR FINANCIERO,34043.938471,56753.343178999996,18173.673732,0.0,12821.728425,1830.70576651,281850.504324,0.0,38372.264465,33945.712853000005,20300.630753999998,3396.494378,68658.594212,56989.484281,0.0,0.0,25280.220144,0.0,0.6,0.0,MN
2016/01,SERVICIOS,90567.776264,43489.297626,200770.879671,7190.263041,25733.239262000003,8538.29894599,1267885.986912,21.474885,104660.653074,187300.585888,4417.692421000001,132526.913452,513116.461705,433017.051815,13397.715691,0.0,205682.70706800002,0.0,83187.97025,0.0,MN
2016/01,VIVIENDA,121964.901695,19515.988428999997,26499.858958999997,18.335508,101833.9524,0.0,195655.026471,0.0,121028.738245,23.516265,227539.15383,9693.365435,536769.15878,164781.525306,3355.056883,0.0,65481.395953,0.0,393289.294154,0.0,MN
Total 2016/01,VIVIENDA,1415342.647687,336754.490107,996902.2854070001,114790.59769599998,2145265.92558906,158093.55953608,6330201.06236586,100447.240475,2123672.836538,1791452.908001,3120685.863187,846009.712107,5985251.068752999,3975389.122951,488353.22233799996,0.0,1716320.199053,0.0,2935141.0967719997,0.0,MN
2016/02,ACTIVIDADES INMOBILIARIAS,46320.675813999995,62.691081,2367.506748,500.278094,0.0,0.0,51114.926736,0.0,0.0,20848.149619,0.0,0.0,65637.560755,26618.921922,0.0,0.0,0.0,0.0,0.0,0.0,MN
2016/02,ADMINISTRACION PUBLICA,3524.622456,1327.266926,0.0,0.0,0.0,0.0,49580.753224,0.0,0.0,187.602029,0.0,0.0,29181.095098,8865.747789000001,0.0,0.0,0.0,0.0,0.0,0.0,MN
2016/02,AGRICULTURA,40320.707056,16072.839808,16897.634363,5224.573884,595339.340213,49.1579546,199867.699827,25966.528767,191271.15449,263065.441346,60684.08646,126827.89730499999,356697.465315,259562.275778,78532.28930100001,0.0,15481.779517,0.0,147510.43884400002,0.0,MN
2016/02,COMERCIO AL POR MAYOR,150398.288101,81550.532341,336844.991385,24026.903932,16486.660559,113562.31239896,986659.882679,48713.951401,171511.569708,219230.806838,1333210.890348,59471.401925,329753.38998000004,720206.050068,113215.498774,0.0,325556.12021100003,0.0,15168.440498,0.0,MN
2016/02,COMERCIO AL POR MENOR,126732.951201,17537.188258000002,85717.275701,19014.702514,369.583999,0.0,613823.040575,19134.721423,354831.927303,238052.89531800002,22326.112239,149093.18723,524718.902945,476402.535599,95853.442643,0.0,47381.718853,0.0,1392644.456602,0.0,MN
2016/02,CONSTRUCCION,49415.491237,1900.991922,69883.631894,3252.357041,0.0,0.0,441191.127928,932.389038,26818.317221,92487.963252,61717.250587,8349.183688000001,213912.570082,104336.491286,0.0,0.0,68957.03706300001,0.0,3192.6042340000004,0.0,MN
